Headline,Comment
Headline 40,I worry baby is gassy and maybe that’s why he hasn’t slept well lately. Is one good burp enough or do I need to keep going? Seems to be after that he doesn’t burp again but maybe acts like he does? This is so hard
Headline 41,"This is my second baby and with my first i was almost two weeks early, and same with this baby. Are you going by your due date or their birthday?? I feel like going by their birthday is when i notice them going through the leap."
Headline 42,"What are some cute pacis that have same nipple as mam pacified? Bonus points if available on Amazon! My LO loves his mam pacis but they’re not very cute, def not Instagram worthy ??"
Headline 43,Hello FTM here and im 4 weeks 5 days pp. I noticed this yellow discharge and was wondering if this is normal. It’s not itchy or painful.
Headline 44,Any moms with experience please help. My daughter never finishes a bottle with the level 1 nipple she is 7 weeks and I am giving her 4oz bottles. She’ll eat 1 or 2 oz then stop ( this also can take up to 45 min or an hour) and the 45 min or...
Headline 45,"So my sister is getting married the second weekend in July. My baby will be 6-7 weeks old then. I am an American living in Sweden, and my sister is still living in NY, so the flight is like at least 9 hours if I get a direct one. When I found..."
Headline 46,My son is currently on Similac 360 and he’s doing okay for the most part but I would like to switch him to a better formula like Bobbi or Kinderal. I’m just afraid of how the change will affect him since he has been sleeping better and pooping...
Headline 47,"tomorrow is mine, do they do blood work? examine down there? what am.i missing?"
Headline 48,"My girl is 6 weeks today and the last week or week and a half, she’s been taking the worst naps. If we’re at someone’s house, we try to do contact naps and she doesn’t stay asleep. She wakes up like every 5-10 mins and then quickly gets over..."
Headline 49,Anyone else missing being pregnant? I keep thinking back when I was pregnant and feel like I never took advantage of anything enough and now I miss it. Idk if it’s because I’m a FTM or what but I miss little things like coming on here everyday...
Headline 50,I’m having a lot of doubts about my marriage lately. My husband doesn’t really help me with anything. I haven’t gotten sleep since April when he says he’s gonna stay up with our son to make sure he’s fed he never does and he never wakes up....
Headline 51,"I’m 35 weeks and I feel like baby has dropped, but i’m not sure. I feel like I can breathe easier today, I somehow have to pee even more often (which I didn’t know that was even possible), it’s even harder / more uncomfortable to bend over,..."
Headline 52,"idk how to explain it, but I've had an ""off"" feeling the past few days. I've been more crampy and nauseous, as well as more fatigued. I've had a killer headache that won't go away too. 😞"
Headline 53,"I am 36 weeks and we still have not picked our name... we have a few options and I would love some feedback of what yall think:1. ""Cedar"" - this name is definitely more rare but we love the meaning (firmly rooted)- we liked this name most, and..."
Headline 54,Hi!Any other mama's up here get diagnosed with Cholestasis? I did at 32w and I am currently 35w today. How are you holding up?! 😣
Headline 55,Would love to get some ideas from others on this! ☺️
Headline 56,I had a growth scan today and my daughters femur bone is measuring 2 weeks behind? Has anyone else had this and ended up with a healthy baby? She’s been measuring behind this whole time and i’m getting really concerned
Headline 57,Does anyone else have constant Braxton Hicks? Like I swear I have them 90% of the day. No matter what I do they don’t stop.
Headline 58,Hi ladies what's your babies percentile at 36weeks mine is 62 I just had my growth scan ultrasound today.just curius! How are yall measuring??
Headline 59,On Friday I had an ultrasound and they told me he has the umbilical cord wrapped once in his neck and that worries me a lot ?? Last night I went to the hospital because I was having contractions every 5 minutes but I’m just 1 cm...
Headline 60,"Hey guys,Wondering if anyone has delivered yet who had partial previa and it moved? How did delivery go? Was there more the usual bleeding?I had partial at my 20 week anatomy but it moved away and was cleared for Vaginal delivery but still wondering..."
Headline 61,"I’m so excited that there’s minor progress on my labor journey. I know it’s small but doctor told me I’m 50% effaced at my 37 week appt yesterday! If you have experience with birth, how long did it take for you to go from 50% effacement to full..."
Headline 62,Trying to get my brand new pump to work. It suctions but then it gets to the point where it won’t release the suction? Like it sucks till it can’t suck anymore. All the pieces are brand new so it’s not that it’s cracked or overused.
Headline 63,"I’m only 35+2 so DEFINITELY not trying anything yet, mostly curious to get a list going of safe “induction” type activities that I can try at 37+ weeks.I had a medical induction my first pregnancy at 36+1 due to preeclampsia but so far (??)..."
Headline 64,Anyone participating in the Bobbie formula study? Debating it over here….
Headline 65,Am I being to sensitive? It seems everyone wants to mention how big I am. I’m 2 weeks away from delivering no s*** I’m gonna be big I’m carrying a whole baby. It’s so irritating to me that’s the first thing out of someone’s mouth! Am I the only...
Headline 66,ok so i feel like i'm literally jus always wet down there nowwhite discharge coming from top of my vaginatiny white piecesit's been like this for week or 2white watery ish ??? dischargesometimes it's thick enough to stick to my underwearidk...
Headline 67,"went to labor & delivery today, my Hg/Hct levels dropped even lower than last week. hoping iron supplements get them back up. I feel like it explains why I've felt so off lately. also, they said my contractions were bc of my bicornuate/septate..."
Headline 68,"I have a spectra s1 from baby #1 that is about 2 years old. It was used for 8 months, and I combo fed so it was used quite a bit. I really struggled with my supply last time and am preparing for hopefully a more successful journey this time.I..."
Headline 69,"Who’s helping you once your baby is here, and for how long? Are you and your husband toughing it out? Do you have family and friends over? Nannies?Also, for c section mommies, who takes care of YOU during this time?"
Headline 70,Went for my 34 week check up today and was told by the PA that the dr wrote in my chart that I’m to be induced at 39 weeks because of my age??? I’ll be 39 in September. Is this normal? I stated that unless there’s something wrong with the baby...
Headline 71,I’m pretty sure I lost part of my mucus plug today and am having BH contractions on and off. They are still too random to time. How long after losing your mucus plug did labor start for you? My first was an induction so I did not experience...
Headline 72,Just wanting to complain here. I have 23 days until my scheduled c section and I am so blah all the time. I have an almost two year old who I CANNOT keep up with right now with the pain and discomfort. I’m so tired all the time and I can’t find...
Headline 73,"FTM 35+5 today , due 5/20 and baby boy is frank breech. The doctor scheduled a C-section date for me of 5/15 and I have exercises/stretches to do in the meantime to try to flip him. If he flips, my C-section can be cancelled. Not knowing whether..."
Headline 74,I dont want any visitors at the hospital after I give birth because my hospital doesnt allow kids under 12 to visit and I feel like my 2 kids should be able to meet their sibling before anyone else. My boyfriends family is upset about it but...
Headline 75,"I feel miserable right now! I am 34 + 4 and on top of my normal pregnancy pains, I am getting sick and my whole body aches but my lower back is getting it the worst. Nothing I do is helping to relieve it. I feel like crying ??"
Headline 76,"What did your babies weigh at 34 weeks? I had a growth US today and she’s measuring a week and a half behind, only 4lb 8oz and 20 percentile ??I have to start going in weekly due to hypertension and they said they’ll likely wanna..."
Headline 77,I live 10min from a hospital where I gave birth to my first. It was an awful experience there. My second is due in 2 weeks and I’ve worked with my doctor to be able to deliver in a much nicer hospital in the city 2hrs away.The problem comes...
Headline 78,"I am wondering how often your obgyn/midwife says you should be feeling movement? I am 34+5. I feel like they are less powerful movements this last week or so. Anybody else? I’d love to hear what your doc recommends. STM, not sure if doc just..."
Headline 79,You guys I could cry I’m so exhausted.I think half of it is my body and the other half is stress.This is my second pregnancy and I don’t remember being this tired ever.Like I literally had to sit straight up in my seat driving home from getting...
Headline 80,Any one else lose all muscle control of legs and get shooting pain when baby hits directly on nerves? Sometimes my knees buckle and I occasionally fall to the ground ??
Headline 81,"If you ever wondered what your baby dropping looks like, here’s an example. Also, ouch she’s low! The drop photo is from today at 35w3d"
Headline 82,38+2Been having what I’d call Braxton hicks all day.. lower back pain then lower belly cramps… mostly 20 min apart… this afternoon seems like 10 min apart… I’m recording it cause I got spooked this morning. Had a speck of blood… bright red…...
Headline 83,"STM advice needed! Should I take diapers, formula and wipes to the hospital when in labor or will all pf that be provided? I have heard I shouldn’t take more than clothes for the baby? ????‍♀️????‍♀️????‍♀️..."
Headline 84,Anyone being induced? Is it worth it?
Headline 85,Im 36 weeks and 4 days. Its itchy down there and kinda irritated. What can u recommend?
Headline 86,Hi everyone! Realizing now I probably should have asked my doctor this but when she checked my cervix she said the baby was very low and she could feel his head and that it was in front of my cervix?? Anyone ever had something like this/know...
Headline 87,"Anyone else induced with their second or third, if so, how long was your labor?? Currently sitting In The hospital and induction was started about an hour ago. Just curious how long, on average stm or Ttms labored for!"
Headline 88,I went to three prenatal massages in March. My insurance provider changed to a different company in April. The massage center I went to told me they worked with alllll insurance companies. It is almost May now and they just texted me telling...
Headline 89,my sis & I got matching tats last summer & I tried to be strategic with placement so it didn't stretch - almost 35 weeks and it hasn't stretched still hehe. also baby is size of pineapple & my tat is a pineapple! so fun! have yall had any tats...
Headline 90,"I went to the doctor today, 37 weeks, and was told baby is very low, could feel their head already in the birth canal. Said cervix is softening but no dilation. Is this pretty standard for a 37 week appointment? Does dilation mean much if baby..."
Headline 91,I’m 37 weeks today and getting retested for cholestasis in the morning as I’ve been incredibly itchy the last few nights. Mostly tops of hands and feet though/ankles legs arms. But my hands are SO swollen and feel so hot all the time. So now...
Headline 92,"i woke up this morning to what felt like trickling realized it was my water breaking and when i wiped i seen bloody like mucus, ftm here i’m not sure when i should go to the hospital. my mom is saying to wait it out until i get contractions..."
Headline 93,My nails have suddenly began to turn orange. I can’t find anything online about orange nails. I have washed them and I have not touched anything orange that I know of that would cause them to look like this. Any ideas?
Headline 94,Anyone else having a tight belly?? Not having any pain besides my sciatic acting up a little but my belly has just been randomly getting tight and I feel so much pressure ??
Headline 95,https://amzn.to/4404w6JConsidering purchasing this monitor bc we have another babe due next month and I don’t love my current Eufy monitor.Anyone have this and have any feedback on it?Need it to have a somewhat wide angle view and decent range...
Headline 96,"Hi all! So I’ve been feeling left out from different events with some girlfriends since being pregnant.. I see tonight that one of my friends had a girls night and didn’t invite me… there were about 8 girls, tons of food & drinks. I understand..."
Headline 97,Scheduled on May 2nd and this mom wants a mimosa
Headline 98,My mother who lives abroad is here to look after my 4 year old during my induction. She’s staying with us and I am 38 + 5 today. I’ve had 2 sweeps and have been hoping to go into labour myself but it’s looking like my induction tomorrow will...
Headline 99,Just lost mine and I’m 34 weeks 5 days. I have no idea what that means or what to expect. It says you could go into labor in days or weeks. Anyone have experience with this?
Headline 100,Back pains at 38 weeks 6 days ??‍?? ugh I’m hurting so bad
Headline 101,I plan to make my own padsicles. This is the first time I’ve used them. I have the depends for pp as well as overnight pads. I’m a little confused…should I make padsicles depends too? I don’t want all the bulk of wearing a pad and a depend if...
Headline 102,I’ve noticed that my butt is sore and so is my lower back and hips ? Anyone else ? Currently 34 weeks 3days . Oh yeah and my tailbones been popping and getting locked up ??????
Headline 103,It’s getting close ladies!! How are you feeling? Do you have everything you need? I don’t lol I’ll be getting the rest of babies things this week and next. I’m just soo excited that I’m about to be holding my baby and I get my body back in the...
Headline 104,"I can barely eat anything without feeling like I need to throw up. I keep getting severe chest pains after I eat. They get so bad that I end up throwing up my food. Went to the doc and they checked out my heart, everything looked good but they..."
Headline 105,I know this has already been asked but I haven’t seen a post in a while. What are you all naming your girls?
Headline 106,"I’ve received a lot of size 2 diapers, so i’ll need to go shopping before baby is here. But i’m so confused about newborn and size 1 diapers. Are newborn diapers even worth getting? If so, how many boxes should I get? Baby isn’t measuring super..."
Headline 107,I’m 36 weeks + 1.. in my city the weather has begun to get nicer however my condo has automatic heating and it is still set to winter settings.. it’s currently 26.5 degrees in my room lol.. i ended up grabbing a fan and an ice pack.. I started...
Headline 108,"Is anyone else getting dizzy spells in 3rd trimester. It suckssss. No other symptoms, just dizzy. Just need validation. Thank you."
Headline 109,"I just laid down and my stomach feels different. This whole time i’ve been carrying all the way up to my chest pretty much and always felt super big and out of breath. When I laid down just now, I noticed I feel smaller up top, my stomach feels..."
Headline 110,"I’ve found the holy grail for heartburn and needed to share. For months i’ve been dealing with heartburn and the last few weeks it was so bad, especially at night. I was fedddd up with being choked out with acid and probably od’ing on tums.I..."
Headline 111,FTM To me it feels like the baby is moving. I have been having really bad tightness on the top of my stomach that last about 10-15 secs and can feel like a bump and then it goes away and then I get a shooting sharp pain down my vagina. Anyone...
Headline 112,Finally getting around to doing her laundry and omg folding these little things can be tricky!Anyone have any tips/tricks/methods they use?! I typically use the file folding method for my clothes but for some of the baby items I just can’t seem...
Headline 113,I was laying on my left for maybe 20 mins and baby boy shifted to the left of my belly and I started having the worst cramping in the world and it's barely easing up cing in very bad waves. My stomach looks like a lima bean lol. It's so uncomfortable...
Headline 114,"Help!Thinking of Adelyn Mae or Elsie MaeMae for the month of May and also my late grandmother Mary. Elsie the Scottish nickname for Elizabeth and my middle name is Beth so small relation there. Adelyn is a name we've both liked for a long time,..."
Headline 115,"I just got diagnosed with bacterial vaginosis. No major symptoms, just increased discharge and occasional pinkish hue to it. Nothing that’s too bothersome. My doc offered oral antibiotics (Metronidazole), but I have a long history of GI issues..."
Headline 116,"I went into my appointment today at 36w3d and my blood pressure was 186/100. They took my blood to see if there is excess protein in my urine, abnormalities with liver etc. If anything comes back abnormal I’ll be getting induced tomorrow. If..."
Headline 117,"FTM and I had my 36 week ultra sound today, everything went well but baby boy is measuring 98th percentile and is estimated 8lbs 3 oz. Doctor said it’s give or take a pound but I’m thinking he’s on the heavier side still due to all of his measurements..."
Headline 118,Hi everyone. I have an appointment tomorrow with my OB to discuss options to help me get out of this depression & anxiety. I also have a therapy appointment tonight. Anyone on here been through this and how did you do it?
Headline 119,Nervous for the gbs swab.. how does it feel? What should I expect?? FTM and get anxiety about new things.
Headline 120,What are you ladies packing in your & baby’s bag? I’m trying to find the energy to do mines this week! #duemay13
Headline 121,"Hi everyone,We keep coming back to Felix but I’m worried it’s a little trendy.Older son’s name is Declan.Do you know many kids named Felix? Have you not used a name because of a quick rise in popularity?Thanks!"
Headline 122,"Has anyone else been on hydrocodone while pregnant before?I’ve had horrible hemorrhoids for over a week now and after getting them drained, I was put on hydrocodone. Literally without them, the pain is intolerable. But I’m so scared about how..."
Headline 123,"I’m 36 weeks and my midwife ordered a growth scan since baby is measuring two weeks ahead. Because of the way my drs office is, I had to schedule the scan with the radiology department instead of regular OB. When I called, the scheduler told..."
Headline 124,Anyone test positive for Strep B in previous pregnancies and negative in others? I was positive for my first 2 and negative with this pregnancy! I could’ve sworn I would have been positive again!
Headline 125,"Long story short, I got a tick bite on my left calf 3 days ago. The tick couldn’t have been on for longer than 2-3 hours and the actual bite site looks totally normal except for a scab. For the past 48 hours, I’ve had pretty significant ankle..."
Headline 126,"For second time + moms: If you were born preterm/early term, how far along were you when you gave birth to your baby(s)? I was born at 37 weeks and am curious how many preterm/early term moms have given birth early!"
Headline 127,"Hello May mamas! ?? We are having our first girl and are leaning toward using the name McKenna, or Makenna. Which spelling would you prefer? I usually prefer the more common spelling of names but also not crazy about having a capital..."
Headline 128,"I see my OB tomorrow so I’ll obviously definitely talk to her, but for a few hours I’ve had pretty bad cramping really low down in my abdomen or almost in my pubic area. Right around where a C-section incision will be, and it sort of just feels..."
Headline 129,"I’m wondering if im the only one desperate to have this baby, I feel so uncomfortable at this time, especially when bedtime’s comes up. During the day i work all day in a desk and by noon my feet are all swollen that I can’t do much after that...."
Headline 130,Anyone prescribed Doxylamine-Pyridoxine (Diclegis)for nausea by their doctor? Any experience or knowledge on it?
Headline 131,"I've had a difficult pregnancy and my husband has been great at stepping up to do a lot of the big things with my 2 year old that became hard for me (daycare drop off/ pick up, bath time, etc). I do feel like this additional time they get to..."
Headline 132,My chiro today asked if I felt anything when she was touching my stomach. It was very hard and she mentioned I could be have BH. Has anyone else had BH but doesn’t feel them?I notice now that sometimes it’s hard and then it’s soft.
Headline 133,"Just left my appointment and they checked and said I'm 3.5 cm dilated. I'm 36+3 weeks and was wondering how quickly did you deliver when you reached this point? Water has not broken yet, if that matters. Thanks all!"
Headline 134,"I am having right rib pain on and off throughout the day. I think it's my baby kicking me, because it is instant relief when he starts moving and moves his foot out from there. I have never had high blood pressure or protein in my urine. Has..."
Headline 135,"I’m due May 28, so pretty much everyone is ahead of me, lol. At 33 weeks what were you guys getting done?I’m debating when I should set up the bassinet, start meal prepping freezer meals, installing car seats, etc. I feel like there’s such little..."
Headline 136,I’m going in for my second C-section on Saturday… I’ll be 36 weeks on the dot.I had a C-section with my first but it wasn’t planned so I didn’t really have any time to process what was happening since it all happened so fast! C-section went...
Headline 137,What do you think?It’s so small lol
Headline 138,"My friend’s family swears by this theory. If you know the gender of your baby, was it right for you!?Mom age when conceived+Month baby was conceived=ODD ->BoyEVEN-> Girl??????????????"
Headline 139,"I’m stressing. My last 2 babies flipped head down by 30 weeks or so, but this little one is being oh so stubborn. She was breech at 30 weeks and today at 35 weeks she is transverse, where she has been for the last 2-3 weeks. My doctor assured..."
Headline 140,"I have a couple! Mainly their soft hair (my kids somehow come out with a decent amount), the little mouths and yawns, and of course their tiny fingers and toes ❤️"
Headline 141,Just left my OB appt and they checked my blood pressure and my OB said it was slightly elevated. He rechecked after an hour and it read 135/80 and said it’s fine. But of course I had to google it and google says it’s stage one high blood pressure....
Headline 142,anyone else have to poop all the time??? 34w tomorrow and I swear I'm on the toilet all day .... not feeling sick as at.
Headline 143,"Hey gals. Im currently 35 weeks pregnant. On Sunday I found some old looking blood in my underware. I went to the hospital and they told me sex could be the reason and to stay away for 2 weeks. Today, Tuesday I woke up with a little more pink..."
Headline 144,"I'm gonna be getting induced by 39 weeks, but would love to be dilated enough that it's not a lengthy induction.. gonna ask OB to do a membrane sweep to get cervix ready beforehand, but unsure of when they normally do them.. I'm 36 weeks, have..."
Headline 145,I’m due in just a couple weeks and my toddler came home from daycare with what I think is a cold sore (HSV) and now I’m terrified that he is going to give to baby brother when he gets here and I don’t know what to do
Headline 146,"Yesterday at my regular OB appointment I had high BP. she had me do the 24hr urine test. I came to the hospital today thinking I was just dropping it off and going home, but one thing lead to another and now they're admitting me. My protein..."
Headline 147,Is anyone else having an early delivery?
Headline 148,"I weaned my now 17-month-old off nursing at six months and combo fed until a year. Now she drinks whole milk and does well, but I can't help but wonder if I should try to nurse her/feed her breastmilk too when the new baby comes (assuming I..."
Headline 149,FTM and my discharge is thicker now..what does that mean?
Headline 150,I just found out I have cholestasis at 36 weeks I was diagnosed off a slightly elevated cholic acid level all other levels for bile acid were normal but was diagnosed. My dr told me I’ll deliver next week but don’t know what day or anything...
Headline 151,"STM, 37.4 weeks. With my first, I was induced at 41+1, and never had any braxton hicks throughout my pregnancy.1cm dilated, 0% effaced as of 37 week appt. Getting a TON of BH throughout the day. Not very “regular”- just frequent all day. Drinking..."
Headline 152,"Sooo yesterday, I had my 36+3 check up and my OB swabbed for strep and checked my cervix, and said of course I may have some spotting. 45 minutes later I’m picking my daughter up from school and I felt like a bubble burst in my underwear and..."
Headline 153,"I have a diaper bag that I plan on packing as we need it for day trips, outings, etc. but I wanted to pack a smaller bag to just keep in the car in case of emergencies.Any tips or recommendations to pack in the car bag?Few Extra DiapersWipes1-2..."
Headline 154,Is anyone else absolutely terrified of falling asleep either holding the baby or breastfeeding? FTM here and I fall asleep quite easily so this is something I am super nervous about! My husband said he will help make sure it doesn’t happen but...
Headline 155,"Just started having shooting pains in breast today mostly on right breast. Anyone else feeling similar, and how to alleviate?"
Headline 156,36 weeks today and it’s time to finally call it quits on trying to drive myself anywhere. I’m 4’10 and my stomach is just too big and up against the steering wheel because I have to sit so close in order to reach the pedals. ????‍♀️...
Headline 157,"Anyone else? I mean, I know what I have to do, I repeat the list in my head over and over, then I just have a feeling of “nah!! I’ll do it later” ??????"
Headline 158,Yesterday when I met with my doctor for my weekly check up she told me she wants to do a membrane sweep at my next visit when I'm 38&5 and to plan an induction for the next week just in case. It feels like it's early to be planning for membrane...
Headline 159,"Was 36 weeks, no dilation at my last check up. Bummed! Just want to get this show on the road."
Headline 160,Im due in 2 weeks and I recently got my diaper bag stolen with my baby boy’s coming home outfit. Need some new inspiration since I know I won’t be able to get the same clothes since they were hand me downs from my first.
Headline 161,"I found the labours quite ok, apart trom the part whwre I had to press. The ring of fire and the pressure is so intense. Does someone has a tip for me?"
Headline 162,"I was doing some stretches today. Ever since, I've felt like there's a medicine ball chillin at my pants line. I cant even fully stand up straight, not because I'm in pain, it's just so heavy. There's almost a constipation like discomfort. Anyone..."
Headline 163,"Hit me with all the encouragement/affirmations/positivity that’s getting y’all through these last few weeks ?? I feel like I can’t deal with potentially 3 more weeks of this, especially when getting more uncomfortable by the day..."
Headline 164,"Hi, I’m 37 weeks. My OB is talking about inducing me but I really don’t want that, as the only reason she wants to induce me is due to my high BMI. I am perfectly healthy, no GD, or preeclampsia, no high BP, nothing. I feel like she’s pushing..."
Headline 165,"I have a 3yo boy. Who doesn’t take naps anymore. Who wakes up at 7am everyday. Who has an overwhelming amount of energy. After 2 hours at the park, lunch, homework time, and everything else in between. Nothing puts him down for a nap. I have..."
Headline 166,My youngest is only 1 to and not yet walking or seems interested. I’m buying an all in one car seat so no infant carseat/carrier. What’s the best baby wear for newborns+ in the summer time?
Headline 167,"Currently 37 wksDid Anyone Start Pumping? If So, When?"
Headline 168,How do you tell your in laws hospital rules without “hurting their feelings”?I don’t have many and I don’t feel like I’m asking for much but she is super over the top and I feel like she will be offended.Aw my rules unreasonable??? The same...
Headline 169,This whole pregnancy I feel like I’ve been okay. Occasionally snappy …but nothing too extreme. We have just had a death in the family and I even noticed I was feeling a lot of different emotions at the same time during the funeral. Today I woke...
Headline 170,"Hi everyone. I’m 37+3 and recently had either a UTI or kidney infection so was taking antibioticAt the same time, my BP spiked to 140/90s had migraines so they did a urine analysis to check the protein levels. It’s 589… which is flagged as super..."
Headline 171,We had an uninvited guest at our house who use to live with us post covid but then he got stuck in India due to border restrictions but now he got a year visa and straightaway invited him to our house without even asking. We were okay with him...
Headline 172,"So with my first, my 36-38 week checks I was always at a 1, and then on my due date I went into labor so I never made it to that appt but was admitted at a 4cm. I know I could be at 2cm for a month it doesn’t mean much, but she gave me the go..."
Headline 173,"I just received a call from my pharmacy saying the FDA has pulled the Makena shot off the market….officially. Also mentioned how if I have any left, my doctor needs to dispense them. Super stressed because I’ve read of people going to labor..."
Headline 174,"So I’m having my third and live in a 2 bed apartment and my mom is retiring and moving in with me. My boys have bunk beds in one bedroom, I’m in the other with baby, then we have a living/dining combo. I initially was going to remove the dining..."
Headline 175,"38 Weeks today!!!!!! I have been having on and off contractions this morning..... Nothing too close together to be timeable, but not braxton hicks!!! I get so nauseas when they come on and have to take a deep breath through it. Come on little..."
